sheet,nj,wave,chain,fte,fte_nm,wage
337,1,2,1,30.5,27.5,5.05
339,1,1,1,23.0,21.0,4.25
339,1,2,1,11.5,9.5,5.05
340,1,1,1,24.0,21.0,4.25
340,1,2,1,25.5,23.5,5.05
341,1,1,2,7.5,5.5,4.62
341,1,2,2,9.5,6.5,5.05
343,1,1,2,15.0,13.0,4.75
343,1,2,2,11.5,9.5,5.05
346,1,1,2,9.25,7.25,4.25
346,1,2,2,12.0,9.0,
348,1,1,3,11.25,8.25,4.25
348,1,2,3,,,
350,1,1,3,16.5,12.5,4.75
350,1,2,3,17.0,15.0,5.05
351,1,1,3,18.75,15.75,4.25
351,1,2,3,24.0,20.0,5.05
352,1,1,3,13.5,9.5,4.75
352,1,2,3,,,
353,1,1,3,21.75,18.75,4.37
353,1,2,3,,,5.05
355,1,1,4,13.5,10.5,4.87
355,1,2,4,13.5,11.5,
359,1,1,1,15.0,11.0,4.25
359,1,2,1,17.0,13.0,5.05
360,1,1,1,17.5,15.5,4.25
360,1,2,1,28.0,21.0,5.05
361,1,1,1,17.5,12.5,4.25
361,1,2,1,21.5,15.5,5.05
362,1,1,2,,12.5,4.25
362,1,2,2,30.0,26.0,5.05
363,1,1,2,15.5,12.5,4.25
363,1,2,2,19.5,17.5,5.2
364,1,1,2,16.5,13.5,4.25
364,1,2,2,20.0,16.0,5.05
366,1,1,3,13.5,10.5,4.5
366,1,2,3,14.5,10.5,5.05
368,1,1,4,13.0,10.0,4.25
368,1,2,4,14.5,12.5,5.05
369,1,1,1,11.5,7.5,4.35
369,1,2,1,,,
370,1,1,1,29.05,25.75,4.85
370,1,2,1,31.5,28.5,5.05
376,1,1,1,13.0,9.0,4.5
376,1,2,1,11.5,8.5,5.05
377,1,1,1,18.0,15.0,4.25
377,1,2,1,20.0,17.0,5.05
379,1,1,1,30.0,26.0,4.62
379,1,2,1,34.0,31.0,5.05
380,1,1,1,20.5,17.5,4.5
380,1,2,1,25.0,22.0,5.05
383,1,1,1,10.0,8.0,4.5
383,1,2,1,10.0,8.0,5.05
384,1,1,1,,,4.65
384,1,2,1,18.0,15.0,5.05
385,1,1,1,26.0,23.0,4.25
385,1,2,1,25.0,22.0,5.05
386,1,1,1,12.5,9.5,4.25
386,1,2,1,23.0,19.0,5.05
391,1,1,2,19.5,17.5,4.25
391,1,2,2,17.5,15.5,5.05
393,1,1,2,12.0,9.0,4.62
393,1,2,2,23.0,20.0,5.25
396,1,1,3,36.0,32.0,4.87
396,1,2,3,26.0,23.0,5.4
397,1,1,3,21.0,18.0,4.25
397,1,2,3,16.5,13.5,5.05
398,1,1,3,24.5,20.5,4.75
398,1,2,3,35.5,32.5,5.05
399,1,1,3,20.0,17.0,4.87
399,1,2,3,31.0,27.0,5.05
400,1,1,3,26.5,23.5,4.5
400,1,2,3,23.0,20.0,5.05
401,1,1,3,15.0,11.0,4.25
401,1,2,3,22.5,18.5,5.05
402,1,1,3,19.0,16.0,4.75
402,1,2,3,21.5,19.5,5.05
405,1,1,3,17.5,14.5,4.32
405,1,2,3,12.0,9.0,5.05
410,1,1,1,20.5,17.5,4.25
410,1,2,1,20.5,17.5,5.05
411,1,1,1,21.0,18.0,4.5
411,1,2,1,25.0,22.0,5.05
412,1,1,2,10.5,8.5,4.5
412,1,2,2,8.5,6.5,5.05
413,1,1,1,23.0,18.0,4.25
413,1,2,1,13.0,10.0,5.05
414,1,1,1,23.0,18.0,4.25
414,1,2,1,21.5,17.5,5.05
415,1,1,1,29.0,24.0,4.25
415,1,2,1,23.0,19.0,5.05
417,1,1,1,21.0,18.0,4.25
417,1,2,1,25.5,21.5,5.05
418,1,1,1,41.5,37.5,4.25
418,1,2,1,21.5,17.5,5.05
419,1,1,2,12.0,8.0,4.25
419,1,2,2,9.5,7.5,5.05
421,1,1,2,33.0,25.0,4.62
421,1,2,2,36.5,28.5,5.05
422,1,1,2,6.5,3.5,4.75
422,1,2,2,16.0,10.0,5.05
423,1,1,2,9.0,7.0,4.95
423,1,2,2,23.75,20.75,5.25
424,1,1,2,9.75,6.75,4.75
424,1,2,2,17.5,13.5,5.25
426,1,1,3,24.5,19.5,4.25
426,1,2,3,20.5,17.5,5.05
427,1,1,4,14.0,11.0,4.75
427,1,2,4,20.5,17.5,5.05
428,1,1,4,19.5,16.5,4.62
428,1,2,4,25.0,22.0,5.14
